time,role,annotator_id,analysed_account_id,answer,ground_truth_label,bot_quality
1637045182.5578969,BOTS_ONLY,1448919485,192062603,BOT,BOT,LIVE
1637045182.9036703,BOTS+RANDOM,889969266,158298306,BOT,BOT,MID
1637045184.2521656,BOTS+RANDOM,451926275,493784052,BOT,USER,
1637045185.2466557,BOTS+GROUPS_SHIFTED,1971868463,583272379,IDN,BOT,MID
1637045186.1088502,BOTS_ONLY,899202378,584157660,IDN,BOT,LIVE
1637045191.0787735,BOTS+RANDOM,785202004,583428419,USER,BOT,LOW
1637045196.612721,BOTS+RANDOM,785202004,447965391,IDN,BOT,HIGH
1637045197.7788515,BOTS_ONLY,899202378,512837776,BOT,BOT,HIGH
1637045200.0525246,BOTS+RANDOM,451926275,444407993,BOT,BOT,LOW
1637045205.2511015,BOTS+RANDOM,214950535,585771721,USER,BOT,LIVE
1637045206.7548535,BOTS+GROUPS_SHIFTED,591258635,585374757,BOT,BOT,LIVE
1637045209.3649154,BOTS+RANDOM,451926275,463357423,BOT,USER,
1637045215.0505648,BOTS_ONLY,923283466,278509609,BOT,BOT,LOW
1637045215.2608795,BOTS+RANDOM,1767820372,352912747,USER,BOT,HIGH
1637045216.886338,BOTS_ONLY,1448919485,189258446,BOT,BOT,MID
1637045217.5048864,BOTS_ONLY,1555616902,83410183,IDN,BOT,LIVE
1637045217.7949972,BOTS_ONLY,1975879812,582455700,BOT,BOT,MID
1637045220.427807,BOTS_ONLY,899202378,583936097,USER,BOT,LIVE
1637045222.6723764,BOTS+RANDOM,785202004,59489750,USER,USER,
1637045225.0190842,BOTS_ONLY,899202378,585826018,IDN,BOT,MID
1637045225.4986863,BOTS+RANDOM,451926275,579741045,BOT,BOT,MID
1637045230.4787147,BOTS_ONLY,1555616902,402121775,BOT,BOT,LOW
1637045233.3179207,BOTS+RANDOM,785202004,483661781,IDN,BOT,LOW
1637045236.3956132,BOTS+RANDOM,451926275,585826018,BOT,BOT,MID
1637045236.8025756,BOTS_ONLY,1448919485,585758981,USER,BOT,LIVE
1637045247.5807295,BOTS+RANDOM,889969266,173272668,BOT,USER,
1637045248.2688658,BOTS_ONLY,1448919485,585770878,USER,BOT,HIGH
