descr,available,price,sn,shop,action,quality,action_n,quality_n
100 Друзей  с Активностью 68   Лучшее качество СНГ-Россия Запуск 0-2 час Мин 100 ед  Скорость до 300 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,100,0.68,vk,doctorsmm.csv,friend,high,3,3
500 Друзей  с Активностью 334   Лучшее качество СНГ-Россия Запуск 0-2 час Мин 100 ед  Скорость до 300 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,500,0.668,vk,doctorsmm.csv,friend,high,3,3
1000 Друзей  с Активностью 659   Лучшее качество СНГ-Россия Запуск 0-2 час Мин 100 ед  Скорость до 300 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,1000,0.659,vk,doctorsmm.csv,friend,high,3,3
5000 Друзей  с Активностью 3099   Лучшее качество СНГ-Россия Запуск 0-2 час Мин 100 ед  Скорость до 300 ед/сутки Доступно 5000 ед Стабильные! Безопасное продвижение!,5000,0.6198,vk,doctorsmm.csv,friend,high,3,3
100 Друзей  Быстрые 51   Хорошее качество Россия+СНГ Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 500 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,100,0.51,vk,doctorsmm.csv,friend,high,3,3
1000 Друзей  Быстрые 489   Хорошее качество Россия+СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 500 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,1000,0.489,vk,doctorsmm.csv,friend,high,3,3
5000 Друзей  Быстрые 2399   Хорошее качество Россия+СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 500 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,5000,0.4798,vk,doctorsmm.csv,friend,high,3,3
10000 Друзей  Быстрые 4719   Хорошее качество Россия+СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость до 500 ед/сутки Доступно 10000 ед Стабильные! Безопасное продвижение!,10000,0.4719,vk,doctorsmm.csv,friend,high,3,3
100 репостов  Быстрый старт Россия-СНГ 30   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,100,0.3,vk,doctorsmm.csv,repost,high,3,3
500 репостов  Быстрый старт Россия-СНГ 145   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,500,0.29,vk,doctorsmm.csv,repost,high,3,3
1000 репостов  Быстрый старт Россия-СНГ 280   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,1000,0.28,vk,doctorsmm.csv,repost,high,3,3
5000 репостов  Быстрый старт Россия-СНГ 1289   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,5000,0.2578,vk,doctorsmm.csv,repost,high,3,3
500 репостов  Базовые СНГ 48   Низкое качество СНГ Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость низкая Доступно 1000 ед Гарантии нет Безопасное продвижение!,500,0.096,vk,doctorsmm.csv,repost,low,3,1
1000 репостов  Базовые СНГ 93   Низкое качество СНГ Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость низкая Доступно 1000 ед Гарантии нет Безопасное продвижение!,1000,0.093,vk,doctorsmm.csv,repost,low,3,1
500 репостов  Медленные микс 72   Среднее качество микс Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость до 100 ед/сутки Доступно 1000 ед Гарантии нет Безопасное продвижение,500,0.144,vk,doctorsmm.csv,repost,mid,3,2
1000 репостов  Медленные микс 143   Среднее качество микс Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость до 100 ед/сутки Доступно 1000 ед Гарантии нет Безопасное продвижение,1000,0.143,vk,doctorsmm.csv,repost,mid,3,2
100 репостов  Быстрый старт Россия-СНГ 30   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,100,0.3,vk,doctorsmm.csv,repost,high,3,3
500 репостов  Быстрый старт Россия-СНГ 145   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,500,0.29,vk,doctorsmm.csv,repost,high,3,3
1000 репостов  Быстрый старт Россия-СНГ 280   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,1000,0.28,vk,doctorsmm.csv,repost,high,3,3
5000 репостов  Быстрый старт Россия-СНГ 1289   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,5000,0.2578,vk,doctorsmm.csv,repost,high,3,3
100 репостов  +100 лайков Стандарт 38   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 50К ед Гарантия 30 дней Эффект естественного интереса!,100,0.38,vk,doctorsmm.csv,repost,high,3,3
500 репостов  +500 лайков Стандарт 185   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 50К ед Гарантия 30 дней Эффект естественного интереса!,500,0.37,vk,doctorsmm.csv,repost,high,3,3
1000 репостов  +1000 лайков Стандарт 360   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 50К ед Гарантия 30 дней Эффект естественного интереса!,1000,0.36,vk,doctorsmm.csv,repost,high,3,3
5000 репостов  +5000 лайков Стандарт 1749   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 300 ед/сутки Доступно 50К ед Гарантия 30 дней Эффект естественного интереса!,5000,0.3498,vk,doctorsmm.csv,repost,high,3,3
100 лайков  Базовые 9   Среднее качество микс Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость низкая Доступно 3000 ед Стабильные! Безопасное продвижение,100,0.09,vk,doctorsmm.csv,like,mid,2,2
300 лайков  Базовые 25   Среднее качество микс Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость низкая Доступно 3000 ед Стабильные! Безопасное продвижение,300,0.08333333333333333,vk,doctorsmm.csv,like,mid,2,2
500 лайков  Базовые 40   Среднее качество микс Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость низкая Доступно 3000 ед Стабильные! Безопасное продвижение,500,0.08,vk,doctorsmm.csv,like,mid,2,2
1000 лайков  Базовые 74   Среднее качество микс Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость низкая Доступно 3000 ед Стабильные! Безопасное продвижение,1000,0.074,vk,doctorsmm.csv,like,mid,2,2
100 лайков  Офферы СНГ 12   Среднее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость 100-300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,100,0.12,vk,doctorsmm.csv,like,live,2,4
500 лайков  Офферы СНГ 49   Среднее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость 100-300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,500,0.098,vk,doctorsmm.csv,like,live,2,4
1000 лайков  Офферы СНГ 94   Среднее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость 100-300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,1000,0.094,vk,doctorsmm.csv,like,live,2,4
10000 лайков  Офферы СНГ 909   Среднее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость 100-300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,10000,0.0909,vk,doctorsmm.csv,like,live,2,4
100 лайков  +100 просмотров Живые 27   Высокое качество СНГ Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 1000 ед/сутки Доступно 100К ед Гарантия 100% Рекомендуем! Эффект естественного интереса!,100,0.27,vk,doctorsmm.csv,like,live,2,4
1000 лайков  +1000 просмотров Живые 249   Высокое качество СНГ Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 1000 ед/сутки Доступно 100К ед Гарантия 100% Рекомендуем! Эффект естественного интереса!,1000,0.249,vk,doctorsmm.csv,like,live,2,4
10000 лайков  +10000 просмотров Живые 2290   Высокое качество СНГ Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 1000 ед/сутки Доступно 100К ед Гарантия 100% Рекомендуем! Эффект естественного интереса!,10000,0.229,vk,doctorsmm.csv,like,live,2,4
100000 лайков  +100000 просмотров 22290   Высокое качество СНГ Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 1000 ед/сутки Доступно 100К ед Гарантия 100% Рекомендуем! Эффект естественного интереса!,100000,0.2229,vk,doctorsmm.csv,like,high,2,3
1000 просмотров  на видео Быстрые 119   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 10000 ед/сутки Доступно 20К ед Гарантия 30 дней Рекомендуем!,1000,0.119,vk,doctorsmm.csv,view,high,1,3
10000 просмотров  на видео Быстрые 1090   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 10000 ед/сутки Доступно 20К ед Гарантия 30 дней Рекомендуем!,10000,0.109,vk,doctorsmm.csv,view,high,1,3
50000 просмотров  на видео Быстрые 5290   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 10000 ед/сутки Доступно 20К ед Гарантия 30 дней Рекомендуем!,50000,0.1058,vk,doctorsmm.csv,view,high,1,3
100000 просмотров  на видео Быстрые 9990   Хорошее качество Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 10000 ед/сутки Доступно 20К ед Гарантия 30 дней Рекомендуем!,100000,0.0999,vk,doctorsmm.csv,view,high,1,3
100 лайков  Медленные 7   Среднее качество Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость капельная Доступно 1000 ед Гарантии нет Безопасное продвижение,100,0.07,vk,doctorsmm.csv,like,mid,2,2
500 лайков  Медленные 35   Среднее качество Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость капельная Доступно 1000 ед Гарантии нет Безопасное продвижение,500,0.07,vk,doctorsmm.csv,like,mid,2,2
1000 лайков  Медленные 69   Среднее качество Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость капельная Доступно 1000 ед Гарантии нет Безопасное продвижение,1000,0.069,vk,doctorsmm.csv,like,mid,2,2
100 Лайков  Смешанных 8   Низкое качество микс Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость низкая Доступно 1000 ед Гарантии нет Безопасное продвижение,100,0.08,vk,doctorsmm.csv,like,mid,2,2
500 Лайков  Смешанных 39   Низкое качество микс Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость низкая Доступно 1000 ед Гарантии нет Безопасное продвижение,500,0.078,vk,doctorsmm.csv,like,mid,2,2
1000 лайков  Смешанных 76   Низкое качество микс Запуск 2-4 час Мин 100 ед на 1 ссылку Скорость низкая Доступно 1000 ед Гарантии нет Безопасное продвижение,1000,0.076,vk,doctorsmm.csv,like,mid,2,2
100 лайков  Офферы 12   Среднее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость 100-300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,100,0.12,vk,doctorsmm.csv,like,live,2,4
500 лайков  Офферы 49   Среднее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость 100-300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,500,0.098,vk,doctorsmm.csv,like,live,2,4
1000 лайков  Офферы 94   Среднее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость 100-300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,1000,0.094,vk,doctorsmm.csv,like,live,2,4
10000 лайков  Офферы 909   Среднее качество СНГ Запуск 0-3 час Мин 100 ед на 1 ссылку Скорость 100-300 ед/сутки Доступно 10000 ед Гарантия 30 дней Безопасное продвижение!,10000,0.0909,vk,doctorsmm.csv,like,live,2,4
100 Лайков  + 100 Просмотров Живые 27   Высокое качество СНГ Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 1000 ед/сутки Доступно 100К ед Гарантия 100% Безопасное продвижение!,100,0.27,vk,doctorsmm.csv,like,live,2,4
1000 Лайков  + 1000 Просмотров Живые 249   Высокое качество СНГ Запуск 0-2 час Мин 100 ед на 1 ссылку Скорость до 1000 ед/сутки Доступно 100К ед Гарантия 100% Безопасное продвижение!,1000,0.249,vk,doctorsmm.csv,like,live,2,4
